id,creditability,account_balance,duration_of_credit_month,payment_status_of_previous_credit,purpose,credit_amount,value_savings_stocks,length_of_current_employment,instalment_per_cent,sex_marital_status,guarantors,duration_in_current_address,most_valuable_available_asset,age_years,concurrent_credits,type_of_apartment,no_of_credits_at_this_bank,occupation,no_of_dependents,telephone,foreign_worker,new_column,model_version
6299,0,3,12,4,0,939,3,4,4,4,1,2,1,28,3,2,3,3,0,1,0,True,28
2707,1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,0,1,0,True,28
8794,1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,0,1,0,True,28
1387,1,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,0,1,0,True,28
3283,1,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,0,1,0,True,28
572,0,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,0,1,0,True,28
6022,1,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,0,1,0,True,28
6619,1,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,0,1,0,True,28
6182,1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,0,1,0,True,28
6314,1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,0,1,0,True,28
7284,1,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,0,1,0,True,28
9096,1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,0,1,0,True,28
4211,0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,0,1,0,True,28
7204,0,1,18,2,3,1882,1,3,4,2,1,4,3,25,1,1,2,3,0,1,0,True,28
8505,0,4,15,2,6,4623,2,3,3,3,1,2,2,40,3,2,1,4,0,1,0,True,28
2141,1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,0,1,0,True,28
4624,0,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,0,1,0,True,28
6269,1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,0,1,0,True,28
2680,1,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,0,1,0,True,28
7929,1,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,0,1,0,True,28
7909,1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,0,1,0,True,28
9029,1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,0,1,0,True,28
8090,0,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,0,1,0,True,28
6089,1,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,0,1,0,True,28
7681,1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,0,1,0,True,28
3931,1,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,0,1,0,True,28
8601,0,1,18,1,0,1442,1,4,4,3,1,4,4,32,1,3,2,2,1,1,0,True,28
3880,0,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,0,1,0,True,28
8240,1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,0,1,1,True,28
9188,0,1,18,2,1,7511,5,5,1,3,1,4,2,51,3,3,1,3,1,1,0,True,28
